id,name,email,phoneNumber
CUS0000,Nguyễn Phương Lan,4e3o5rhj@gmail.com,0320157548
CUS0001,Nguyễn Đạt Tùng,4e3o5rhj@gmail.com,0300816411
CUS0003,Nguyễn Thanh Thành,faylv6de@gmail.com,0386171276
CUS0004,Nguyễn Dung Hạnh,gwg1apy6@gmail.com,0373604092
CUS0005,Nguyễn Đạt Thành,xpwtmz4e@gmail.com,0329167534
CUS0006,Nguyễn Ngọc Mai,u768blad@gmail.com,0301889400
CUS0007,Nguyễn Thanh Đạt,sz7mx0xv@gmail.com,0363711577
CUS0008,Nguyễn Tuấn Tiến,44dnygzj@gmail.com,0324673704
CUS0009,Nguyễn Thắng Đức,0k3qpxyy@gmail.com,0358905185
CUS0010,Nguyễn Đức Sơn,nmwewa9q@gmail.com,0317351248
CUS0011,Nguyễn Hằng Phương,kjn35xwy@gmail.com,0378220073
